"gene","healthy_none","healthy_cd3","healthy_cd3_46","healthy_none_1","healthy_cd3_1","healthy_cd3_46_1","arg1_def_none","arg1_def_cd3","arg1_def_cd3_46","arg1_def_none_1","arg1_def_cd3_1","arg1_def_cd3_46_1"
"ERCC-00137",6.04631559744324,6.70231667147891,5.92397196604359,5.44144565141341,5.21011941905308,5.47842209060928,5.44444439610876,5.04548296685734,5.04662228598013,5.22053377324618,5.11934246340164,4.95802803139411
"ERCC-00126",7.21770892149355,7.88568639809546,7.65687083795282,6.88758193097069,7.02714394412424,6.4041502400165,6.3915476176705,6.64784053992168,6.43397411890851,6.78204044993279,6.60815506332019,6.81967095642176
"LOC23117",5.45609735494239,6.12413516388928,6.3325858613322,5.01381974544853,5.89681423359086,5.50691723300167,5.52954034726374,5.47740023337394,5.50275394206383,5.23223847809253,5.05658651932755,5.44653491075312
"TRIM44",6.06254677814728,6.61580423044705,6.67469549946894,6.63382061274658,6.72384315849736,6.39597465886216,6.21596149720181,6.7483758398333,6.14617030854928,6.74148299108731,6.30329702585881,6.72568763533376
"LOC400129",5.22027905596791,4.79600137868304,5.74087737095833,5.69616526629879,5.60672664751258,5.62913622815959,5.26074568904466,5.52348817791425,5.26031961914092,5.53630404612247,5.60812784735448,5.4916163379259
"LOC653895",6.74947444501922,6.81540330270868,6.525296555227,6.24577343485776,5.9444905096754,5.93000983445387,5.4896487063589,5.32869732977296,6.08006643543988,5.93653594136817,5.77232531002057,5.23463130120119
"C15orf39",5.2751337443983,5.14590962457181,4.77942807388537,4.89390462326742,4.88502304922004,5.4028905560705,5.17089087837924,5.51101566870315,4.91473547289301,5.30528301525286,5.14149394388256,5.24050602413602
"STAMBPL1",5.7287859660026,6.82817693321523,7.68023861805337,8.47496711464102,8.75959316305921,8.84692155194584,8.23091252705009,8.34764273418811,9.19939003771375,8.17385397225027,8.49007859137173,9.0521465902849
"LOC728492",5.79402339557628,6.61747113303738,5.94039194713634,6.84651841654878,6.09934782030205,6.51054557937647,6.72509087200238,6.54732161340563,6.79442155434221,7.09211189922958,7.09992262773164,6.58749900831393
"SCYL1BP1",5.18674111332109,4.9599002895007,5.82367552377343,5.28993513484414,5.41233873417362,5.22032478580705,5.06933689883122,5.10793884364271,4.98861278578055,5.27723996793548,5.09926724261467,5.37084308849515
"SCYL1BP1",5.92441780219921,5.71923447749503,5.43165415391826,7.72706904163576,6.93470298242847,7.03076387153343,6.82231708698057,6.25882226055399,6.39086714416898,7.04441914370354,6.68095809493789,7.14124195043578
"TCP1",6.69682377493936,7.00418639975061,6.47744333069756,6.68065819566684,6.24259123869649,6.28956765273681,6.40129467718068,5.92260504710358,6.53277693169943,6.13348574015529,5.70242508565718,6.22024891229851
"PEX5",4.83474238515169,4.87214875516098,4.98777613907159,5.30348927969251,5.37982739103508,5.30348927969251,4.7951816689876,5.42440186720004,5.89019945963749,5.07788404309715,5.14338630369663,5.10599784709648
